FIRST_NAME,LAST_NAME,EMAIL_ID,EU_CITIZEN,NON_EU_CITIZEN
Rachel,Woodard,mannmichael@hotmail.com,EU Citizen,
Michael,Fox,keith37@yahoo.com,EU Citizen,
Dominique,Montoya,toddortega@beard.com,,Non-EU Citizen
Margaret,Jones,mharris@yahoo.com,EU Citizen,
Mercedes,Bradshaw,kelly12@nelson.net,,Non-EU Citizen
Patricia,Edwards,leonardharvey@stuart.com,,Non-EU Citizen
Jamie,Harrison,nwhite@black.com,EU Citizen,
William,Garza,brookstiffany@howard.com,EU Citizen,
Brett,White,daniellemccarthy@yahoo.com,EU Citizen,
Aaron,Downs,ronaldsmith@zuniga.com,EU Citizen,
Tyler,Faulkner,colonrichard@wagner-murphy.net,,Non-EU Citizen
Francisco,Melton,jamesanthony@griffith.info,EU Citizen,
Andrew,Barrett,jcoleman@gmail.com,EU Citizen,
Courtney,Crawford,qmiller@gmail.com,,Non-EU Citizen
Alexandra,Sanchez,joshuawright@chambers.com,EU Citizen,
Matthew,Rogers,jamiekirk@moran.net,,Non-EU Citizen
Breanna,Green,markwilliams@barker-gardner.biz,EU Citizen,
Robert,Carter,lori69@robinson-cruz.com,EU Citizen,
Brandy,Anderson,michaelshah@butler.com,EU Citizen,
Donna,Hill,jasmine19@burton.com,EU Citizen,
Natalie,Garcia,yleon@molina.org,,Non-EU Citizen
Sara,Simmons,jillreeves@carter.org,EU Citizen,
Stephen,Johnson,valenzuelamegan@hotmail.com,EU Citizen,
Heidi,Lopez,shortkevin@stewart-miller.com,,Non-EU Citizen
Katherine,Levy,xstewart@hotmail.com,EU Citizen,
Richard,Cox,munozkeith@hotmail.com,,Non-EU Citizen
Jerry,Sweeney,alyssa88@henderson.com,EU Citizen,
Matthew,Rogers,tmartin@raymond.com,EU Citizen,
Linda,Parker,jenniferwood@gmail.com,EU Citizen,
Nicholas,Ruiz,vwilson@schmidt-rodriguez.com,,Non-EU Citizen
Robin,Pierce,morgancourtney@jackson.com,EU Citizen,
Cathy,Brown,isaac46@gmail.com,EU Citizen,
Jessica,Contreras,rhodesrobert@burns.com,,Non-EU Citizen
Brian,Dixon,kennethtorres@hotmail.com,EU Citizen,
James,Luna,kelseyjones@gmail.com,EU Citizen,
Willie,Garcia,michael12@kent.net,EU Citizen,
Natasha,Benson,sgonzalez@pruitt-romero.com,EU Citizen,
Anna,Barber,paul76@collins.com,,Non-EU Citizen
Bradley,Murphy,justin80@hotmail.com,,Non-EU Citizen
Katelyn,Wu,chadbrown@carr.com,EU Citizen,
Joe,Pittman,loganmadison@jones.net,EU Citizen,
Joseph,Vance,mosleyerica@kirby.info,,Non-EU Citizen
Michael,Mcfarland,jameskelly@yahoo.com,EU Citizen,
Lauren,Taylor,erin70@livingston.com,,Non-EU Citizen
Teresa,Velasquez,monicawallace@hotmail.com,EU Citizen,
Ryan,Rogers,uabbott@yahoo.com,EU Citizen,
Alisha,Gutierrez,mbray@gmail.com,,Non-EU Citizen
Kenneth,Vargas,wbrown@hughes-davis.com,,Non-EU Citizen
Abigail,Matthews,awilkerson@king.com,,Non-EU Citizen
Ashley,Whitehead,kevinjones@hotmail.com,,Non-EU Citizen
Christopher,Duncan,qmorrow@crawford.com,,Non-EU Citizen
Linda,Walker,joseholmes@kirby.com,EU Citizen,
Kathy,Dillon,marycollier@phillips.org,EU Citizen,
John,Hart,lunavalerie@yahoo.com,EU Citizen,
Diana,Chambers,robinharrison@gmail.com,EU Citizen,
April,Reed,paulrodriguez@yahoo.com,EU Citizen,
Christina,Davis,joanneashley@kelley-garcia.info,,Non-EU Citizen
Susan,Armstrong,brian95@harris-dunn.com,,Non-EU Citizen
Barry,Wall,marshallsarah@brown.com,EU Citizen,
Keith,Medina,rogersrobert@yahoo.com,EU Citizen,
Joshua,Jones,danielle07@gmail.com,,Non-EU Citizen
Janet,Velazquez,swilliams@martinez.net,EU Citizen,
Shawn,Smith,trevor30@king.net,EU Citizen,
Natalie,Rodriguez,chadwalker@hotmail.com,,Non-EU Citizen
Rebecca,Hubbard,angela74@gmail.com,,Non-EU Citizen
Mary,Graham,bradleydenise@yahoo.com,,Non-EU Citizen
Daniel,Warren,barbara40@hotmail.com,EU Citizen,
Jennifer,Garcia,matthew98@andrews.info,EU Citizen,
Teresa,Mckee,frank04@long.info,EU Citizen,
John,Wheeler,jordanrobert@ward-henderson.org,,Non-EU Citizen
Tyler,Marks,ukelly@hotmail.com,EU Citizen,
Krista,Robles,derek09@nolan-price.info,EU Citizen,
Joseph,Gaines,brian76@hotmail.com,EU Citizen,
Lacey,Bowen,kristinthornton@yahoo.com,EU Citizen,
Patrick,Reynolds,michelle95@hotmail.com,,Non-EU Citizen
Andrea,Long,lmoore@harper.com,EU Citizen,
Austin,Gonzalez,pscott@clark.com,EU Citizen,
Michael,White,dickersonjamie@wheeler-parks.info,EU Citizen,
Karen,Bell,donna46@kelley.com,,Non-EU Citizen
Ashley,Harding,samuel44@peters.biz,EU Citizen,
Nicole,Cook,bcross@hammond.com,,Non-EU Citizen
Denise,Avila,sharonfoster@dominguez.biz,EU Citizen,
Sandra,Vazquez,philip58@williams-carr.com,,Non-EU Citizen
Rhonda,Davis,woodsjennifer@dawson-wolf.info,EU Citizen,
Sharon,Williams,alexiscastro@taylor.biz,,Non-EU Citizen
Jerome,Miller,nancymcdonald@martin.com,,Non-EU Citizen
Connie,Lee,lisa60@yahoo.com,EU Citizen,
Steve,Rodriguez,clarkekim@hotmail.com,,Non-EU Citizen
Jessica,Webb,donaldhahn@snow-hunter.com,,Non-EU Citizen
Heather,Hampton,twright@yahoo.com,EU Citizen,
Carol,Anderson,omendoza@adams.net,EU Citizen,
Jacqueline,Williams,ksolomon@burns.com,,Non-EU Citizen
Joel,Steele,jenningskaren@gmail.com,,Non-EU Citizen
Tanya,Williams,eric66@yahoo.com,,Non-EU Citizen
Sean,Neal,jennifer46@robinson.org,,Non-EU Citizen
Jason,Smith,webbkristi@williamson.com,EU Citizen,
Michael,Nichols,christopher72@yahoo.com,,Non-EU Citizen
Stephanie,Alvarado,debrawilson@hotmail.com,,Non-EU Citizen
Andrew,Garcia,alexis08@yahoo.com,EU Citizen,
Mark,Smith,michellevelazquez@yahoo.com,,Non-EU Citizen
William,Holland,richardbell@shelton.com,EU Citizen,
Jessica,Brewer,jorge60@obrien-washington.net,EU Citizen,
Ashley,Lawrence,ufry@dominguez.com,EU Citizen,
Matthew,Santiago,yujoshua@gmail.com,EU Citizen,
Laura,Hernandez,halljohn@roman.net,EU Citizen,
Justin,Figueroa,gomezbrandon@yahoo.com,EU Citizen,
Heather,Coleman,jacobsonjulie@yahoo.com,EU Citizen,
Barbara,Garcia,paula67@conner-davis.com,,Non-EU Citizen
James,Hernandez,natasha86@white.net,,Non-EU Citizen
Lucas,Reid,ohenry@bennett-moody.com,,Non-EU Citizen
Tyrone,Watson,psantiago@gmail.com,EU Citizen,
Jonathan,Santos,mhoward@gmail.com,EU Citizen,
Cassandra,Green,hgonzalez@marsh.com,,Non-EU Citizen
Dale,Burgess,burnsamanda@yahoo.com,EU Citizen,
Jodi,Green,schroederjoel@woods-reed.biz,,Non-EU Citizen
Marcia,Burnett,lrodriguez@hotmail.com,,Non-EU Citizen
Bridget,Ho,hsullivan@flynn.com,,Non-EU Citizen
Larry,Colon,angelgregory@gmail.com,EU Citizen,
Jenna,Kelly,joe39@butler.com,EU Citizen,
Dustin,Sanchez,jamesvillanueva@jones.com,EU Citizen,
Megan,Larson,scottjohn@hotmail.com,,Non-EU Citizen
Cynthia,Jennings,mullinstyrone@gmail.com,,Non-EU Citizen
Richard,Stewart,javier70@gmail.com,,Non-EU Citizen
Kelly,Sullivan,austinmunoz@webb-lewis.biz,,Non-EU Citizen
Shaun,Santos,erinbrown@collins.com,EU Citizen,
Andrew,Dean,jrose@campbell-hoffman.org,,Non-EU Citizen
Kaitlyn,Harris,vhernandez@hotmail.com,EU Citizen,
Donald,Todd,melissafields@hotmail.com,EU Citizen,
Anthony,Davis,crystalblackwell@smith.net,,Non-EU Citizen
Mary,Steele,hernandezdavid@gmail.com,,Non-EU Citizen
Caitlin,Jacobs,danielleholmes@morris.com,,Non-EU Citizen
Heather,Stanton,nicole86@hotmail.com,EU Citizen,
Ashley,Howell,william71@alvarado.com,EU Citizen,
Felicia,Oliver,stevensmichael@spencer.com,,Non-EU Citizen
Debra,Jones,anthonyrios@hotmail.com,EU Citizen,
Joseph,Moore,zwagner@ramos-lee.info,,Non-EU Citizen
Kristin,Harrell,alanharrison@brown-wong.com,,Non-EU Citizen
Alexa,Poole,johnjohnson@roberson.net,,Non-EU Citizen
Belinda,Newman,rcole@white.com,EU Citizen,
Antonio,White,turnermichelle@gmail.com,EU Citizen,
Richard,Williams,obarrett@smith-anderson.org,EU Citizen,
Alison,Boyd,woodraymond@yahoo.com,EU Citizen,
Victoria,Mcintyre,harrismichael@miller-poole.net,EU Citizen,
Melinda,Dunn,thompsonrobert@hamilton-anderson.com,,Non-EU Citizen
Lisa,Cook,william11@yahoo.com,EU Citizen,
Jamie,Mccarthy,christopher86@gmail.com,EU Citizen,
Kimberly,Villarreal,michaeljenkins@scott.com,,Non-EU Citizen
Sarah,Waller,brownrichard@norris.com,EU Citizen,
Amy,Matthews,mckeelarry@logan.biz,EU Citizen,
Steve,Ross,brian35@gmail.com,,Non-EU Citizen
Ryan,Sherman,danieldennis@munoz.com,EU Citizen,
Victoria,Mendoza,moralesjamie@hotmail.com,,Non-EU Citizen
Erica,Walton,dpark@gmail.com,EU Citizen,
John,Gutierrez,jillianwilliams@gmail.com,EU Citizen,
Ian,Schwartz,conleychristina@yahoo.com,,Non-EU Citizen
Cynthia,Rodriguez,cervantesolivia@villanueva.net,EU Citizen,
Lindsey,Joseph,christinamitchell@yahoo.com,EU Citizen,
Jennifer,Norris,matthewwalters@hotmail.com,,Non-EU Citizen
Tamara,Stevens,fordjames@gmail.com,EU Citizen,
Jessica,Stone,renee09@mcdonald.com,,Non-EU Citizen
Michael,Lester,joseph41@yahoo.com,EU Citizen,
Ricky,Carlson,christopher85@garrison.biz,,Non-EU Citizen
Christine,Nelson,michael97@hotmail.com,,Non-EU Citizen
Wayne,Atkins,aaronsmith@gmail.com,,Non-EU Citizen
Joseph,Davis,christina75@hotmail.com,EU Citizen,
Michaela,Bird,ogonzalez@kaufman.net,,Non-EU Citizen
Kurt,Collins,chase97@yahoo.com,EU Citizen,
Ashley,Duncan,alexandriadennis@webb.org,,Non-EU Citizen
Melissa,Wong,lisawilson@hotmail.com,,Non-EU Citizen
Michael,Horton,andrea53@garcia-hill.org,EU Citizen,
Jeremy,Barajas,egonzalez@gmail.com,EU Citizen,
Jordan,Hardin,gordonsharon@gibson-oneill.com,,Non-EU Citizen
Sonia,Fleming,david14@johnson.info,EU Citizen,
Thomas,Rodriguez,bartonjasmin@gmail.com,EU Citizen,
Robert,Burgess,herbertwood@hotmail.com,EU Citizen,
Robin,Lopez,travislopez@hotmail.com,,Non-EU Citizen
Elizabeth,Gutierrez,thomasjoshua@hester-brown.com,EU Citizen,
Edward,Moore,walllisa@hamilton-conrad.com,,Non-EU Citizen
Judith,Saunders,olee@barrera.net,EU Citizen,
Daniel,Taylor,nicholas85@jordan-lopez.com,EU Citizen,
Karen,Fuentes,randy62@gmail.com,,Non-EU Citizen
Erika,Lopez,samanthamcconnell@barber.net,,Non-EU Citizen
Peter,Wright,stewartrichard@martin.org,,Non-EU Citizen
Cole,Campbell,tonycaldwell@gmail.com,EU Citizen,
Daniel,Morgan,andrewburgess@harmon.com,EU Citizen,
Kimberly,Lane,kyle73@jones.com,EU Citizen,
Cassie,Davis,xnavarro@johnson.com,EU Citizen,
Pamela,Sanders,ischroeder@peters-massey.com,EU Citizen,
Jamie,Wall,qsantiago@garcia.com,,Non-EU Citizen
Sarah,Sandoval,tevans@tucker-ruiz.net,,Non-EU Citizen
Megan,Paul,veronica73@yahoo.com,,Non-EU Citizen
Paula,Jones,ingramrhonda@reed.net,EU Citizen,
Samantha,Jackson,smithpaul@hotmail.com,EU Citizen,
Michael,Jackson,perezjennifer@gmail.com,,Non-EU Citizen
William,Sanchez,obradley@gmail.com,,Non-EU Citizen
Joseph,Stone,wadekevin@gmail.com,,Non-EU Citizen
Brett,Rojas,bakermadison@williams.com,,Non-EU Citizen
Aaron,Lucas,smithbrent@zavala.org,EU Citizen,
Matthew,Gomez,bishopfrank@yahoo.com,EU Citizen,
Rebecca,Burnett,trivers@hotmail.com,EU Citizen,
Jill,Villarreal,williamsdavid@collins.com,,Non-EU Citizen
Julie,Morton,wgarner@pace.net,,Non-EU Citizen
Alicia,Coleman,amyleonard@ray.info,,Non-EU Citizen
James,Hodges,keith25@yahoo.com,,Non-EU Citizen
Kevin,Kramer,jamiereid@hotmail.com,,Non-EU Citizen
Maurice,Wood,romanmaria@sanchez.org,EU Citizen,
Thomas,Bell,carrillomariah@yahoo.com,EU Citizen,
James,Rodriguez,susanwilliams@hotmail.com,,Non-EU Citizen
Kimberly,Cochran,icoleman@mitchell-owen.org,EU Citizen,
Laura,Fletcher,ibrooks@gmail.com,EU Citizen,
Elizabeth,Campbell,lwilson@gmail.com,EU Citizen,
Donna,Scott,guy93@yahoo.com,EU Citizen,
Nathan,Perry,joshua24@hotmail.com,EU Citizen,
Daniel,Conley,jrobinson@solomon-roth.net,EU Citizen,
Melissa,Richardson,tammyarmstrong@gmail.com,,Non-EU Citizen
Dawn,Alexander,gphillips@newman.com,,Non-EU Citizen
Jessica,May,jessicaharris@hill-guerrero.info,EU Citizen,
Kenneth,Miller,bobbyshepard@gmail.com,EU Citizen,
Tammy,Anthony,whull@hotmail.com,EU Citizen,
Molly,Foster,dsmith@yahoo.com,EU Citizen,
Anna,Cooper,jeffersonkristen@yahoo.com,EU Citizen,
Kenneth,Arnold,greendeborah@powell.com,EU Citizen,
Walter,Sharp,daniel02@yahoo.com,EU Citizen,
Lisa,Levine,johnsolis@reyes.com,EU Citizen,
David,Thomas,amberwright@hurley.com,,Non-EU Citizen
Antonio,Miller,ruth83@hotmail.com,EU Citizen,
Brandon,Williams,vtodd@gmail.com,EU Citizen,
Christopher,Reed,nicole51@fernandez-hernandez.org,,Non-EU Citizen
Mark,Smith,walkerariel@gmail.com,EU Citizen,
Nicholas,Freeman,zwest@rodriguez-simmons.com,EU Citizen,
Stephanie,Harris,sharrison@lee-tapia.net,,Non-EU Citizen
Pamela,Brown,wellschristine@yahoo.com,EU Citizen,
Ryan,Green,davisdavid@miller-phillips.com,EU Citizen,
Jerry,Miller,emeyers@holt.net,,Non-EU Citizen
Matthew,Trevino,woodregina@weeks.info,,Non-EU Citizen
Benjamin,Nguyen,hillmichael@hotmail.com,EU Citizen,
Melissa,Davis,wfleming@hotmail.com,EU Citizen,
Kevin,Weaver,faithhickman@gmail.com,,Non-EU Citizen
Steven,Porter,anita57@gmail.com,EU Citizen,
Jackie,Wood,nicolejacobson@yahoo.com,,Non-EU Citizen
Colin,Hull,bowens@hotmail.com,,Non-EU Citizen
Adam,Morris,jimenezkathleen@harris-barnett.net,EU Citizen,
Michelle,Smith,thernandez@thomas.com,,Non-EU Citizen
Joshua,Stone,austinharper@blanchard-lewis.biz,,Non-EU Citizen
Caleb,Williams,frank68@castillo.com,,Non-EU Citizen
Ryan,Chavez,ianwilliams@mendoza-cooper.biz,EU Citizen,
Sandra,Wallace,andrewperry@sanchez.com,EU Citizen,
Michael,Cooper,jphillips@gmail.com,EU Citizen,
Brandi,Valdez,leekeller@yahoo.com,EU Citizen,
John,Wilson,rachelbarr@murphy.org,EU Citizen,
Michele,Jones,james15@mora.com,EU Citizen,
Larry,Stein,matthew80@barnes-carrillo.net,EU Citizen,
Danny,Johnson,jeff86@yahoo.com,EU Citizen,
Amy,Johnson,fmarsh@hotmail.com,EU Citizen,
Sarah,Brooks,richardnatalie@schwartz-willis.com,EU Citizen,
Denise,Beasley,goldenlisa@watts.info,,Non-EU Citizen
Joyce,Cortez,moniquegraham@hotmail.com,EU Citizen,
Angela,Nguyen,smithtodd@nelson.com,EU Citizen,
Jeff,Patterson,zparker@yahoo.com,EU Citizen,
Loretta,Rivera,tracy09@gmail.com,,Non-EU Citizen
Heather,Gonzalez,gillespiecharles@yahoo.com,EU Citizen,
Linda,Orr,patrick12@garcia-hoffman.com,EU Citizen,
Sean,Cooper,beckerjoseph@yahoo.com,,Non-EU Citizen
Kevin,Ruiz,russellbell@torres-robinson.com,,Non-EU Citizen
Amy,Castro,bradleymayo@hotmail.com,,Non-EU Citizen
George,Cooke,richard14@hotmail.com,,Non-EU Citizen
Matthew,Abbott,taylorterry@steele.com,,Non-EU Citizen
Cheryl,Mason,margaretferrell@yahoo.com,EU Citizen,
Adam,Adams,fmarshall@davila.com,,Non-EU Citizen
Vincent,Klein,alexandradyer@hotmail.com,,Non-EU Citizen
Levi,Johnson,aboyd@holland-hines.com,EU Citizen,
Stephanie,Howard,sowens@hotmail.com,,Non-EU Citizen
Ronald,Torres,parkercollin@morgan.com,EU Citizen,
Scott,Harris,davismary@johnson-brown.com,,Non-EU Citizen
Jason,May,denisepearson@gmail.com,,Non-EU Citizen
Adam,Wilson,donna93@thompson.biz,,Non-EU Citizen
Donald,Conley,wernerthomas@gmail.com,,Non-EU Citizen
Dominic,Estrada,toddwilliam@gmail.com,EU Citizen,
John,Barber,penny99@gmail.com,EU Citizen,
Kayla,Perez,zwood@johnson-allen.com,,Non-EU Citizen
James,Martinez,icervantes@fox-thompson.com,,Non-EU Citizen
Andrew,Richards,pbennett@martinez.com,,Non-EU Citizen
Mark,Hoffman,michellebailey@flores.com,EU Citizen,
Cathy,Scott,benjamin00@whitaker-lambert.net,EU Citizen,
Brent,Woodard,castilloshawn@gmail.com,,Non-EU Citizen
Matthew,Guzman,nsanders@moore.info,,Non-EU Citizen
Julia,Lucas,esmith@vazquez-sandoval.info,,Non-EU Citizen
Michelle,Sanchez,ojones@gmail.com,EU Citizen,
Cynthia,Martin,moniqueabbott@sullivan-hernandez.biz,,Non-EU Citizen
Scott,Yates,brookehernandez@gmail.com,EU Citizen,
Adam,Quinn,tracey21@thompson-king.com,EU Citizen,
Ryan,Jones,thomas43@yahoo.com,,Non-EU Citizen
Michele,Colon,joshuaadams@gmail.com,,Non-EU Citizen
Penny,Williams,donaldsonpaul@hotmail.com,EU Citizen,
David,Anderson,mcgeerichard@gmail.com,EU Citizen,
Jason,Morales,deborahwilliams@smith.info,EU Citizen,
Vicki,Hendrix,janetjohnson@cervantes-moore.com,EU Citizen,
Theresa,Lopez,johnbowman@williamson.info,,Non-EU Citizen
Lisa,Ramsey,zpayne@gmail.com,,Non-EU Citizen
Andrew,Gray,nwilliams@mcneil.biz,EU Citizen,
Richard,Shah,zachary88@gmail.com,,Non-EU Citizen
Jason,Vasquez,cwilliams@yahoo.com,EU Citizen,
Randy,Jones,bridget35@alvarez-holland.biz,,Non-EU Citizen
Gina,Allen,xbishop@king.com,EU Citizen,
Christopher,Bowen,ywhite@english.com,,Non-EU Citizen
Timothy,Brown,devin00@yahoo.com,EU Citizen,
Susan,Cameron,flynnsharon@gmail.com,EU Citizen,
Ashley,Miller,jennifercooper@house.com,EU Citizen,
Mark,Rivas,smithjeremy@yahoo.com,,Non-EU Citizen
Jessica,Price,russellkevin@mcbride.com,EU Citizen,
Danny,Arias,morrisrachel@mckinney.com,EU Citizen,
Joshua,Pennington,asmith@gmail.com,,Non-EU Citizen
Jonathan,Singleton,christopher30@yahoo.com,,Non-EU Citizen
Gilbert,Hall,christensentracey@gmail.com,,Non-EU Citizen
Ricardo,Watson,colesuzanne@black-hall.com,EU Citizen,
Joseph,Franklin,gerald07@hernandez.info,EU Citizen,
Mary,Rodriguez,meltonjill@hotmail.com,,Non-EU Citizen
Kevin,Kaiser,lawrence10@wade-bryan.com,EU Citizen,
Todd,White,brian28@yahoo.com,,Non-EU Citizen
Monica,Sanchez,timothyschneider@lee.com,EU Citizen,
Alicia,Mullen,hnelson@strickland.com,,Non-EU Citizen
Joseph,Burton,bakeraudrey@gonzalez.org,EU Citizen,
Dylan,Oliver,matthew81@thompson.info,EU Citizen,
Frederick,Myers,ronald41@yahoo.com,,Non-EU Citizen
Kristin,Johnson,kyle74@cardenas.org,EU Citizen,
Stephanie,Cox,aadams@hotmail.com,,Non-EU Citizen
Jason,Nolan,michelleespinoza@hotmail.com,,Non-EU Citizen
Gary,Nelson,evillanueva@taylor.net,EU Citizen,
Matthew,Harrison,skennedy@dominguez.com,EU Citizen,
Amanda,Hoffman,singhlinda@gmail.com,EU Citizen,
Adam,Miller,hickmannathan@griffin.com,,Non-EU Citizen
Mark,Ortiz,meyernathaniel@espinoza.com,EU Citizen,
Matthew,Weeks,kristen08@butler.com,EU Citizen,
Aaron,Ayala,ericayala@glass.org,EU Citizen,
Brandon,Goodman,johnbrennan@wells-henry.com,,Non-EU Citizen
Heather,Allen,adamsgerald@carter.biz,EU Citizen,
William,Underwood,briancampbell@robertson.com,,Non-EU Citizen
Mary,West,nathan33@warren.com,EU Citizen,
Ryan,Ward,robertsnow@haas-garza.org,EU Citizen,
Robert,Hall,jweber@yahoo.com,EU Citizen,
Tina,Gibson,garyjones@mathews.org,EU Citizen,
Brian,Walton,wbaldwin@hotmail.com,EU Citizen,
Stacey,Thomas,sherri42@hotmail.com,EU Citizen,
Cody,Hale,williamsontina@lara.com,,Non-EU Citizen
Haley,Williams,bmartinez@gibson.com,,Non-EU Citizen
Nichole,Nelson,pperkins@arnold-fernandez.com,EU Citizen,
Stephanie,Wright,mcdowellryan@martin.com,,Non-EU Citizen
Chad,Rhodes,mirandawang@fuller.com,EU Citizen,
Benjamin,Colon,brianaarnold@kelly.biz,EU Citizen,
Margaret,Lutz,emily67@yahoo.com,,Non-EU Citizen
Rebecca,Torres,smithkelsey@gmail.com,EU Citizen,
Destiny,Smith,kelly58@hotmail.com,EU Citizen,
Tiffany,Smith,twilkinson@hotmail.com,,Non-EU Citizen
William,Palmer,karabarker@hotmail.com,,Non-EU Citizen
Kelly,Hill,brandy48@miller.com,EU Citizen,
Matthew,Anderson,fsmith@fox.biz,EU Citizen,
Allison,Collins,petersondouglas@hart.com,,Non-EU Citizen
Dakota,Savage,watsonmichael@gmail.com,,Non-EU Citizen
Janet,Garcia,christian32@gmail.com,EU Citizen,
Rachel,Faulkner,josethompson@miller-williams.com,EU Citizen,
Ryan,Moore,joseph05@hotmail.com,,Non-EU Citizen
Sarah,Morales,pamelawalker@yahoo.com,,Non-EU Citizen
Brent,Lopez,colinperez@morris.com,,Non-EU Citizen
Douglas,Wiley,michaelawilliams@yahoo.com,EU Citizen,
Cory,Velasquez,amy38@yahoo.com,,Non-EU Citizen
Jessica,Wallace,anthony53@smith.biz,,Non-EU Citizen
Jennifer,Simpson,eddie79@griffith.com,EU Citizen,
Loretta,Walker,charles65@jenkins-navarro.org,,Non-EU Citizen
Wayne,Bell,lutzmichael@walker.net,,Non-EU Citizen
Brittany,Bowers,josephhowe@gmail.com,EU Citizen,
Paul,Allen,jpace@yahoo.com,,Non-EU Citizen
Kevin,Johnson,justinrodriguez@campbell-livingston.com,EU Citizen,
Brandon,Terrell,frangel@davis.biz,,Non-EU Citizen
